Slide Name,Order,Sample,Species,Organ,Uploaded Name,Relavant_For_Analysis_Y_N
13829$2019-019-7$US$SCAN$OR$001-001.svs,13829,2019-019-7,Human,Other,scanned/2021-02-26/13829$2019-019-7$US$SCAN$OR$001-001.svs,
13829$2000-005-5$US$SCAN$OR$001 -003.svs,13829,2000-005-5,Human,Other,scanned/2021-02-26/13829$2000-005-5$US$SCAN$OR$001 -003.svs,
13829$2020-007-9$US$SCAN$OR$001 .svs,13829,2020-007-9,Human,Other,scanned/2021-02-26/13829$2020-007-9$US$SCAN$OR$001 .svs,
13829$2020-025-5$US$SCAN$OR$001 -003.svs,13829,2020-025-5,Human,Other,scanned/2021-02-26/13829$2020-025-5$US$SCAN$OR$001 -003.svs,
13829$2011-039-1$US$SCAN$OR$001 .svs,13829,2011-039-1,Human,Other,scanned/2021-02-26/13829$2011-039-1$US$SCAN$OR$001 .svs,
13829$2019-017-9$US$SCAN$OR$001 .svs,13829,2019-017-9,Human,Other,scanned/2021-02-26/13829$2019-017-9$US$SCAN$OR$001 .svs,
13829$2020-044-9$US$SCAN$OR$001 .svs,13829,2020-044-9,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-9$US$SCAN$OR$001 .svs,
13829$2020-044-8$US$SCAN$OR$001 .svs,13829,2020-044-8,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-8$US$SCAN$OR$001 .svs,
13829$2020-044-6$US$SCAN$OR$001 .svs,13829,2020-044-6,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-6$US$SCAN$OR$001 .svs,
13829$2020-044-5$US$SCAN$OR$001 .svs,13829,2020-044-5,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-5$US$SCAN$OR$001 .svs,
13829$2020-044-4$US$SCAN$OR$001 .svs,13829,2020-044-4,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-4$US$SCAN$OR$001 .svs,
13829$2020-044-3$US$SCAN$OR$001 .svs,13829,2020-044-3,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-3$US$SCAN$OR$001 .svs,
13829$2020-044-2$US$SCAN$OR$001 .svs,13829,2020-044-2,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-2$US$SCAN$OR$001 .svs,
13829$2020-044-1$US$SCAN$OR$001 .svs,13829,2020-044-1,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-044-1$US$SCAN$OR$001 .svs,
13829$2020-043-9$US$SCAN$OR$001 .svs,13829,2020-043-9,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-9$US$SCAN$OR$001 .svs,
13829$2020-043-8$US$SCAN$OR$001 .svs,13829,2020-043-8,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-8$US$SCAN$OR$001 .svs,
13829$2020-043-7$US$SCAN$OR$001 .svs,13829,2020-043-7,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-7$US$SCAN$OR$001 .svs,
13829$2020-043-6$US$SCAN$OR$001 .svs,13829,2020-043-6,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-6$US$SCAN$OR$001 .svs,
13829$2020-043-5$US$SCAN$OR$001 .svs,13829,2020-043-5,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-5$US$SCAN$OR$001 .svs,
13829$2020-043-4$US$SCAN$OR$001 .svs,13829,2020-043-4,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-4$US$SCAN$OR$001 .svs,
13829$2020-043-3$US$SCAN$OR$001 .svs,13829,2020-043-3,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-3$US$SCAN$OR$001 .svs,
13829$2020-043-2$US$SCAN$OR$001 .svs,13829,2020-043-2,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-2$US$SCAN$OR$001 .svs,
13829$2020-043-11$US$SCAN$OR$001 .svs,13829,2020-043-11,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-11$US$SCAN$OR$001 .svs,
13829$2020-043-10$US$SCAN$OR$001 .svs,13829,2020-043-10,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-10$US$SCAN$OR$001 .svs,
13829$2020-043-1$US$SCAN$OR$001 .svs,13829,2020-043-1,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-043-1$US$SCAN$OR$001 .svs,
13829$2020-041-1$US$SCAN$OR$001 .svs,13829,2020-041-1,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-041-1$US$SCAN$OR$001 .svs,
13829$2020-037-9$US$SCAN$OR$001 .svs,13829,2020-037-9,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-037-9$US$SCAN$OR$001 .svs,
13829$2020-037-8$US$SCAN$OR$001 .svs,13829,2020-037-8,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-037-8$US$SCAN$OR$001 .svs,
13829$2020-037-7$US$SCAN$OR$001 .svs,13829,2020-037-7,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-037-7$US$SCAN$OR$001 .svs,
13829$2020-036-9$US$SCAN$OR$001 .svs,13829,2020-036-9,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-9$US$SCAN$OR$001 .svs,
13829$2020-036-8$US$SCAN$OR$001 .svs,13829,2020-036-8,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-8$US$SCAN$OR$001 .svs,
13829$2020-036-7$US$SCAN$OR$001 .svs,13829,2020-036-7,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-7$US$SCAN$OR$001 .svs,
13829$2020-036-6$US$SCAN$OR$001 .svs,13829,2020-036-6,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-6$US$SCAN$OR$001 .svs,
13829$2020-036-5$US$SCAN$OR$001 .svs,13829,2020-036-5,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-5$US$SCAN$OR$001 .svs,
13829$2020-036-4$US$SCAN$OR$001 .svs,13829,2020-036-4,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-4$US$SCAN$OR$001 .svs,
13829$2020-036-3$US$SCAN$OR$001 .svs,13829,2020-036-3,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-3$US$SCAN$OR$001 .svs,
13829$2020-036-2$US$SCAN$OR$001 .svs,13829,2020-036-2,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-2$US$SCAN$OR$001 .svs,
13829$2020-036-10$US$SCAN$OR$001 .svs,13829,2020-036-10,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-10$US$SCAN$OR$001 .svs,
13829$2020-036-1$US$SCAN$OR$001 .svs,13829,2020-036-1,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-036-1$US$SCAN$OR$001 .svs,
13829$2020-031-9$US$SCAN$OR$001 .svs,13829,2020-031-9,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-9$US$SCAN$OR$001 .svs,
13829$2020-031-8$US$SCAN$OR$001 .svs,13829,2020-031-8,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-8$US$SCAN$OR$001 .svs,
13829$2020-031-7$US$SCAN$OR$001 .svs,13829,2020-031-7,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-7$US$SCAN$OR$001 .svs,
13829$2020-031-6$US$SCAN$OR$001 .svs,13829,2020-031-6,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-6$US$SCAN$OR$001 .svs,
13829$2020-031-5$US$SCAN$OR$001 .svs,13829,2020-031-5,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-5$US$SCAN$OR$001 .svs,
13829$2020-031-4$US$SCAN$OR$001 .svs,13829,2020-031-4,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-4$US$SCAN$OR$001 .svs,
13829$2020-031-3$US$SCAN$OR$001 .svs,13829,2020-031-3,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-3$US$SCAN$OR$001 .svs,
13829$2020-031-2$US$SCAN$OR$001 .svs,13829,2020-031-2,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-2$US$SCAN$OR$001 .svs,
13829$2020-031-10$US$SCAN$OR$001 .svs,13829,2020-031-10,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-10$US$SCAN$OR$001 .svs,
13829$2020-031-1$US$SCAN$OR$001 .svs,13829,2020-031-1,Human,Other,scanned/2021-01-29/2021-02-06/13829$2020-031-1$US$SCAN$OR$001 .svs,
13829$2011-039-1$US$SCAN$OR$001 -002.svs,13829,2011-039-1,Human,Other,scanned/2021-02-25/13829$2011-039-1$US$SCAN$OR$001 -002.svs,
13829$2020-039-8$US$SCAN$OR$001 .svs,13829,2020-039-8,Human,Other,scanned/2021-02-25/13829$2020-039-8$US$SCAN$OR$001 .svs,
13829$2000-005-4$US$SCAN$OR$001 -001.svs,13829,2000-005-4,Human,Other,scanned/2021-02-25/13829$2000-005-4$US$SCAN$OR$001 -001.svs,
13829$2020-026-1$US$SCAN$OR$001 .svs,13829,2020-026-1,Human,Other,scanned/2021-02-25/13829$2020-026-1$US$SCAN$OR$001 .svs,
13829$2006-023-8$US$SCAN$OR$001 .svs,13829,2006-023-8,Human,Other,scanned/2021-02-25/13829$2006-023-8$US$SCAN$OR$001 .svs,
13829$2011-039-5$US$SCAN$OR$001 .svs,13829,2011-039-5,Human,Other,scanned/2021-02-25/13829$2011-039-5$US$SCAN$OR$001 .svs,
13829$2009-031-6$US$SCAN$OR$001 .svs,13829,2009-031-6,Human,Other,scanned/2021-02-25/13829$2009-031-6$US$SCAN$OR$001 .svs,
13829$2006-023-9$US$SCAN$OR$001 .svs,13829,2006-023-9,Human,Other,scanned/2021-02-25/13829$2006-023-9$US$SCAN$OR$001 .svs,
13829$2008-027-1$US$SCAN$OR$001 .svs,13829,2008-027-1,Human,Other,scanned/2021-02-25/13829$2008-027-1$US$SCAN$OR$001 .svs,
13829$2006-023-3$US$SCAN$OR$001 .svs,13829,2006-023-3,Human,Other,scanned/2021-02-25/13829$2006-023-3$US$SCAN$OR$001 .svs,
13829$2004-049-3$US$SCAN$OR$001 .svs,13829,2004-049-3,Human,Other,scanned/2021-02-25/13829$2004-049-3$US$SCAN$OR$001 .svs,
13829$2004-049-10$US$SCAN$OR$001 .svs,13829,2004-049-10,Human,Other,scanned/2021-02-25/13829$2004-049-10$US$SCAN$OR$001 .svs,
13829$2002-022-1$US$SCAN$OR$001 .svs,13829,2002-022-1,Human,Other,scanned/2021-02-25/13829$2002-022-1$US$SCAN$OR$001 .svs,
13829$2012-029-3$US$SCAN$OR$001 .svs,13829,2012-029-3,Human,Other,scanned/2021-02-25/13829$2012-029-3$US$SCAN$OR$001 .svs,
13829$2018-016-1$US$SCAN$OR$001 .svs,13829,2018-016-1,Human,Other,scanned/2021-02-25/13829$2018-016-1$US$SCAN$OR$001 .svs,
13829$2019-017-9$US$SCAN$OR$001 .svs,13829,2019-017-9,Human,Other,scanned/2021-02-25/13829$2019-017-9$US$SCAN$OR$001 .svs,
13829$2019-019-3$US$SCAN$OR$001 .svs,13829,2019-019-3,Human,Other,scanned/2021-02-25/13829$2019-019-3$US$SCAN$OR$001 .svs,
13829$2019-021-10$US$SCAN$OR$001 .svs,13829,2019-021-10,Human,Other,scanned/2021-02-25/13829$2019-021-10$US$SCAN$OR$001 .svs,
13829$2019-021-7$US$SCAN$OR$001 .svs,13829,2019-021-7,Human,Other,scanned/2021-02-25/13829$2019-021-7$US$SCAN$OR$001 .svs,
13829$2019-049-7$US$SCAN$OR$001 .svs,13829,2019-049-7,Human,Other,scanned/2021-02-25/13829$2019-049-7$US$SCAN$OR$001 .svs,
13829$2019-105-10$US$SCAN$OR$001 .svs,13829,2019-105-10,Human,Other,scanned/2021-02-25/13829$2019-105-10$US$SCAN$OR$001 .svs,
13829$2019-106-8$US$SCAN$OR$001 .svs,13829,2019-106-8,Human,Other,scanned/2021-02-25/13829$2019-106-8$US$SCAN$OR$001 .svs,
13829$2020-027-16$US$SCAN$OR$001 .svs,13829,2020-027-16,Human,Other,scanned/2021-02-25/13829$2020-027-16$US$SCAN$OR$001 .svs,
13829$2020-027-5$US$SCAN$OR$001 .svs,13829,2020-027-5,Human,Other,scanned/2021-02-25/13829$2020-027-5$US$SCAN$OR$001 .svs,
13829$2020-027-7$US$SCAN$OR$001 .svs,13829,2020-027-7,Human,Other,scanned/2021-02-25/13829$2020-027-7$US$SCAN$OR$001 .svs,
13829$2020-037-4$US$SCAN$OR$001 .svs,13829,2020-037-4,Human,Other,scanned/2021-02-25/13829$2020-037-4$US$SCAN$OR$001 .svs,
13829$2020-013-8$US$SCAN$OR$001 .svs,13829,2020-013-8,Human,Other,scanned/2021-02-25/13829$2020-013-8$US$SCAN$OR$001 .svs,
13829$2020-027-11$US$SCAN$OR$001 .svs,13829,2020-027-11,Human,Other,scanned/2021-02-25/13829$2020-027-11$US$SCAN$OR$001 .svs,
13829$2020-027-12$US$SCAN$OR$001 .svs,13829,2020-027-12,Human,Other,scanned/2021-02-25/13829$2020-027-12$US$SCAN$OR$001 .svs,
13829$2020-041-11$US$SCAN$OR$001 .svs,13829,2020-041-11,Human,Other,scanned/2021-02-25/13829$2020-041-11$US$SCAN$OR$001 .svs,
13829$2020-044-4$US$SCAN$OR$001 .svs,13829,2020-044-4,Human,Other,scanned/2021-02-25/13829$2020-044-4$US$SCAN$OR$001 .svs,
13829$2019-002-7$US$SCAN$OR$001 .svs,13829,2019-002-7,Human,Other,scanned/2021-02-25/13829$2019-002-7$US$SCAN$OR$001 .svs,
13829$2019-101-10$US$SCAN$OR$001 .svs,13829,2019-101-10,Human,Other,scanned/2021-02-25/13829$2019-101-10$US$SCAN$OR$001 .svs,
13829$2000-050-10$US$SCAN$OR$001 -001.svs,13829,2000-050-10,Human,Other,scanned/2021-02-16/13829$2000-050-10$US$SCAN$OR$001 -001.svs,
13829$2014-056-06$US$SCAN$OR$001 .svs,13829,2014-056-06,Human,Other,scanned/2021-02-16/13829$2014-056-06$US$SCAN$OR$001 .svs,
13829$2019-087-1$US$SCAN$OR$001 .svs,13829,2019-087-1,Human,Other,scanned/2021-02-16/13829$2019-087-1$US$SCAN$OR$001 .svs,
13829$2019-096-8$US$SCAN$OR$001 -002.svs,13829,2019-096-8,Human,Other,scanned/2021-02-12/13829$2019-096-8$US$SCAN$OR$001 -002.svs,
