,slidename,order,sample,notes
0,13829$2019-019-7$US$SCAN$OR$001-001.svs,13829,2019-019-7,Control
0,13829$2020-007-9$US$SCAN$OR$001 .svs,13829,2020-007-9,Immuno
0,13829$2019-017-9$US$SCAN$OR$001 .svs,13829,2019-017-9,Immuno
0,13829$2020-044-9$US$SCAN$OR$001 .svs,13829,2020-044-9,Pentachrome
0,13829$2020-043-9$US$SCAN$OR$001 .svs,13829,2020-043-9,Immuno
0,13829$2020-043-8$US$SCAN$OR$001 .svs,13829,2020-043-8,Pentachrome
0,13829$2020-043-7$US$SCAN$OR$001 .svs,13829,2020-043-7,Pentachrome
0,13829$2020-043-11$US$SCAN$OR$001 .svs,13829,2020-043-11,Immuno
0,13829$2020-043-10$US$SCAN$OR$001 .svs,13829,2020-043-10,Immuno
0,13829$2020-037-9$US$SCAN$OR$001 .svs,13829,2020-037-9,Immuno
0,13829$2020-037-8$US$SCAN$OR$001 .svs,13829,2020-037-8,Immuno
0,13829$2020-037-7$US$SCAN$OR$001 .svs,13829,2020-037-7,Pentachrome
0,13829$2020-036-9$US$SCAN$OR$001 .svs,13829,2020-036-9,Immuno
0,13829$2020-036-8$US$SCAN$OR$001 .svs,13829,2020-036-8,Immuno
0,13829$2020-036-7$US$SCAN$OR$001 .svs,13829,2020-036-7,Pentachrome
0,13829$2020-036-10$US$SCAN$OR$001 .svs,13829,2020-036-10,Immuno
0,13829$2020-031-9$US$SCAN$OR$001 .svs,13829,2020-031-9,Immuno
0,13829$2020-031-8$US$SCAN$OR$001 .svs,13829,2020-031-8,Immuno
0,13829$2020-031-7$US$SCAN$OR$001 .svs,13829,2020-031-7,Immuno
0,13829$2020-031-10$US$SCAN$OR$001 .svs,13829,2020-031-10,Pentachrome
0,13829$2020-039-8$US$SCAN$OR$001 .svs,13829,2020-039-8,Immuno
0,13829$2006-023-8$US$SCAN$OR$001 .svs,13829,2006-023-8,Poor section
0,13829$2006-023-9$US$SCAN$OR$001 .svs,13829,2006-023-9,Poor section
0,13829$2019-017-9$US$SCAN$OR$001 .svs,13829,2019-017-9,Immuno
0,13829$2019-021-10$US$SCAN$OR$001 .svs,13829,2019-021-10,Immuno
0,13829$2019-021-7$US$SCAN$OR$001 .svs,13829,2019-021-7,Pentachrome
0,13829$2019-049-7$US$SCAN$OR$001 .svs,13829,2019-049-7,Pentachrome
0,13829$2019-105-10$US$SCAN$OR$001 .svs,13829,2019-105-10,Immuno
0,13829$2019-106-8$US$SCAN$OR$001 .svs,13829,2019-106-8,Pentachrome
0,13829$2020-027-7$US$SCAN$OR$001 .svs,13829,2020-027-7,Pentachrome
0,13829$2020-013-8$US$SCAN$OR$001 .svs,13829,2020-013-8,Pentachrome
0,13829$2020-041-11$US$SCAN$OR$001 .svs,13829,2020-041-11,Immuno
0,13829$2019-002-7$US$SCAN$OR$001 .svs,13829,2019-002-7,Pentachrome
0,13829$2019-101-10$US$SCAN$OR$001 .svs,13829,2019-101-10,Immuno
0,13829$2019-096-8$US$SCAN$OR$001 -002.svs,13829,2019-096-8,Pentachrome
0,13829$2019-087-7$US$SCAN$OR$001 .svs,13829,2019-087-7,Pentachrome
0,13829$2019-087-8$US$SCAN$OR$001 .svs,13829,2019-087-8,Immuno
0,13829$2019-087-9$US$SCAN$OR$001 .svs,13829,2019-087-9,Immuno
0,13829$2019-087-11$US$SCAN$OR$001 .svs,13829,2019-087-11,Control
0,13829$2019-087-10$US$SCAN$OR$001 .svs,13829,2019-087-10,Immuno
0,13829$2019-087-12$US$SCAN$OR$001 .svs,13829,2019-087-12,Control
0,13829$2019-087-13$US$SCAN$OR$001 .svs,13829,2019-087-13,Control
0,13829$2019-080-7$US$SCAN$OR$001 .svs,13829,2019-080-7,Immuno
0,13829$2019-080-8$US$SCAN$OR$001 .svs,13829,2019-080-8,Immuno
0,13829$2019-080-9$US$SCAN$OR$001 .svs,13829,2019-080-9,Immuno
0,13829$2019-080-10$US$SCAN$OR$001 .svs,13829,2019-080-10,Pentachrome
0,13829$2019-080-11$US$SCAN$OR$001 .svs,13829,2019-080-11,Control
0,13829$2019-084-8$US$SCAN$OR$001 .svs,13829,2019-084-8,Control
0,13829$2019-084-10$US$SCAN$OR$001 .svs,13829,2019-084-10,Control
0,13829$2019-084-7$US$SCAN$OR$001 .svs,13829,2019-084-7,Immuno
0,13829$2019-084-9$US$SCAN$OR$001 .svs,13829,2019-084-9,Immuno
0,13829$2019-084-11$US$SCAN$OR$001 .svs,13829,2019-084-11,Immuno
0,13829$2019-097-13$US$SCAN$OR$001 .svs,13829,2019-097-13,Immuno
0,13829$2019-097-12$US$SCAN$OR$001 .svs,13829,2019-097-12,Control
0,13829$2019-084-12$US$SCAN$OR$001 .svs,13829,2019-084-12,Pentachrome
0,13829$2019-084-13$US$SCAN$OR$001 .svs,13829,2019-084-13,Control
0,13829$2019-076-7$US$SCAN$OR$001 .svs,13829,2019-076-7,Immuno
0,13829$2019-076-8$US$SCAN$OR$001 .svs,13829,2019-076-8,Immuno
0,13829$2019-076-9$US$SCAN$OR$001 .svs,13829,2019-076-9,Immuno
0,13829$2019-076-10$US$SCAN$OR$001 .svs,13829,2019-076-10,Pentachrome
0,13829$2019-076-11$US$SCAN$OR$001 .svs,13829,2019-076-11,Control
0,13829$2019-090-7$US$SCAN$OR$001 .svs,13829,2019-090-7,Immuno
0,13829$2019-090-8$US$SCAN$OR$001 .svs,13829,2019-090-8,Immuno
0,13829$2019-090-9$US$SCAN$OR$001 .svs,13829,2019-090-9,Immuno
0,13829$2019-090-10$US$SCAN$OR$001 .svs,13829,2019-090-10,Pentachrome
0,13829$2019-090-11$US$SCAN$OR$001 .svs,13829,2019-090-11,Control
0,13829$2004-0030-08$US$SCAN$OR$001 .svs,13829,2004-0030-08,Pentachrome
0,13829$2019-021-9$US$SCAN$OR$001 .svs,13829,2019-021-9,Immuno
0,13829$2019-092-7$US$SCAN$OR$001 .svs,13829,2019-092-7,Immuno
0,13829$2019-092-8$US$SCAN$OR$001 .svs,13829,2019-092-8,Immuno
0,13829$2019-092-10$US$SCAN$OR$001 .svs,13829,2019-092-10,Control
0,13829$2019-092-9$US$SCAN$OR$001 .svs,13829,2019-092-9,Immuno
0,13829$2019-092-11$US$SCAN$OR$001 .svs,13829,2019-092-11,Pentachrome
0,13829$2019-093-7$US$SCAN$OR$001 .svs,13829,2019-093-7,Pentachrome
0,13829$2019-093-8$US$SCAN$OR$001 .svs,13829,2019-093-8,Immuno
0,13829$2019-093-9$US$SCAN$OR$001 .svs,13829,2019-093-9,Immuno
0,13829$2019-093-10$US$SCAN$OR$001 .svs,13829,2019-093-10,Immuno
0,13829$2019-093-12$US$SCAN$OR$001 .svs,13829,2019-093-12,Control
0,13829$2019-093-11$US$SCAN$OR$001 .svs,13829,2019-093-11,Control
0,13829$2019-094-7$US$SCAN$OR$001 .svs,13829,2019-094-7,Pentachrome
0,13829$2019-094-8$US$SCAN$OR$001 .svs,13829,2019-094-8,Immuno
0,13829$2019-094-9$US$SCAN$OR$001 .svs,13829,2019-094-9,Immuno
0,13829$2019-094-10$US$SCAN$OR$001 .svs,13829,2019-094-10,Immuno
0,13829$2019-096-7$US$SCAN$OR$001 .svs,13829,2019-096-7,Control
0,13829$2019-096-9$US$SCAN$OR$001 .svs,13829,2019-096-9,Control
0,13829$2019-096-11$US$SCAN$OR$001 .svs,13829,2019-096-11,Control
0,13829$2019-096-10$US$SCAN$OR$001 .svs,13829,2019-096-10,Immuno
0,13829$2019-096-12$US$SCAN$OR$001 .svs,13829,2019-096-12,Immuno
0,13829$2019-096-13$US$SCAN$OR$001 .svs,13829,2019-096-13,Immuno
0,13829$2019-097-8$US$SCAN$OR$001 .svs,13829,2019-097-8,Control
0,13829$2019-097-7$US$SCAN$OR$001 .svs,13829,2019-097-7,Pentachrome
0,13829$2019-097-9$US$SCAN$OR$001 .svs,13829,2019-097-9,Immuno
0,13829$2019-097-10$US$SCAN$OR$001 .svs,13829,2019-097-10,Control
0,13829$2019-097-11$US$SCAN$OR$001 .svs,13829,2019-097-11,Immuno
0,13829$2019-085-7$US$SCAN$OR$001 .svs,13829,2019-085-7,Pentachrome
0,13829$2019-085-8$US$SCAN$OR$001 .svs,13829,2019-085-8,Control
