slide_name,roi_name,filepath,label
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_1.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_1.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_10.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_10.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_11.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_11.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_12.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_12.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_2.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_2.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_3.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_3.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_4.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_4.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_6.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_6.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_7.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_7.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_9.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/Y/13829$2000-005-1$US$SCAN$OR$001 -region_9.tiff,Y
13829$2000-005-1$US$SCAN$OR$001,13829$2000-005-1$US$SCAN$OR$001 -region_13.tiff,/home/miruna/.dumps/BAT-ACG/repo/dataset/data/roi/ds_phase_3_raw/labeled/13829$2000-005-1$US$SCAN$OR$001/E/13829$2000-005-1$US$SCAN$OR$001 -region_13.tiff,E
