slide_name,year,N,Y,var_delta,Y_cumul,N_cumul
13829$2000-050-10$US$SCAN$OR$001 -001,2000,3,6,3,6,3
13829$2000-050-11$US$SCAN$OR$001,2000,3,6,3,12,6
13829$2000-050-02$US$SCAN$OR$001,2000,1,5,4,17,7
13829$2000-050-03$US$SCAN$OR$001,2000,4,8,4,25,11
13829$2000-050-07$US$SCAN$OR$001,2000,4,8,4,33,15
13829$2000-050-12$US$SCAN$OR$001,2000,4,8,4,41,19
13829$2000-038-10$US$SCAN$OR$001,2000,0,6,6,47,19
13829$2000-038-7$US$SCAN$OR$001,2000,0,6,6,53,19
13829$2000-038-8$US$SCAN$OR$001,2000,0,6,6,59,19
13829$2000-038-9$US$SCAN$OR$001,2000,0,6,6,65,19
13829$2000-038-5$US$SCAN$OR$001,2000,0,8,8,73,19
13829$2000-038-6$US$SCAN$OR$001,2000,0,9,9,82,19
13829$2000-050-08$US$SCAN$OR$001,2000,0,9,9,91,19
13829$2000-050-09$US$SCAN$OR$001,2000,0,9,9,100,19
13829$2000-005-1$US$SCAN$OR$001,2000,0,10,10,110,19
13829$2000-050-04$US$SCAN$OR$001,2000,0,12,12,122,19
13829$2000-050-01$US$SCAN$OR$001,2000,0,15,15,137,19
13829$2000-050-06$US$SCAN$OR$001,2000,0,15,15,152,19
13829$2000-053-6$US$SCAN$OR$001,2000,0,15,15,167,19
13829$2000-005-2$US$SCAN$OR$001,2000,0,20,20,187,19
13829$2000-005-5$US$SCAN$OR$001 -003,2000,0,24,24,211,19
13829$2000-025-7$US$SCAN$OR$001,2000,0,28,28,239,19
13829$2001-019-1$US$SCAN$OR$001,2001,0,9,9,248,19
13829$2001-019-2$US$SCAN$OR$001,2001,0,9,9,257,19
13829$2001-019-3$US$SCAN$OR$001,2001,0,9,9,266,19
13829$2001-019-4$US$SCAN$OR$001,2001,0,9,9,275,19
13829$2001-019-6$US$SCAN$OR$001,2001,0,9,9,284,19
13829$2001-051-1$US$SCAN$OR$001,2001,0,9,9,293,19
13829$2001-019-5$US$SCAN$OR$001,2001,0,12,12,305,19
13829$2001-051-2$US$SCAN$OR$001,2001,0,12,12,317,19
13829$2001-051-3$US$SCAN$OR$001,2001,0,12,12,329,19
13829$2001-051-4$US$SCAN$OR$001,2001,0,12,12,341,19
13829$2002-060-1$US$SCAN$OR$001,2002,0,9,9,350,19
13829$2002-060-2$US$SCAN$OR$001,2002,0,9,9,359,19
13829$2002-007-4$US$SCAN$OR$001,2002,0,10,10,369,19
13829$2002-022-1$US$SCAN$OR$001,2002,0,16,16,385,19
13829$2002-022-2$US$SCAN$OR$001,2002,0,16,16,401,19
13829$2002-022-3$US$SCAN$OR$001,2002,0,16,16,417,19
13829$2003-033-1$US$SCAN$OR$001,2003,0,8,8,425,19
13829$2003-033-2$US$SCAN$OR$001,2003,0,8,8,433,19
13829$2003-033-3$US$SCAN$OR$001,2003,0,8,8,441,19
13829$2003-033-4$US$SCAN$OR$001,2003,0,8,8,449,19
13829$2003-033-5$US$SCAN$OR$001,2003,0,8,8,457,19
13829$2003-033-6$US$SCAN$OR$001 -001,2003,0,8,8,465,19
13829$2003-054-6$US$SCAN$OR$001 -001,2003,0,10,10,475,19
13829$2003-054-1$US$SCAN$OR$001 -001,2003,0,12,12,487,19
