slide_name,year,N,Y,var_delta,Y_cumul,N_cumul
13829$2000-050-02$US$SCAN$OR$001 ,2000,1,5,4,5,1
13829$2000-050-08$US$SCAN$OR$001 ,2000,0,9,9,14,1
13829$2000-050-09$US$SCAN$OR$001 ,2000,0,9,9,23,1
13829$2000-005-1$US$SCAN$OR$001,2000,0,10,10,33,1
13829$2000-050-04$US$SCAN$OR$001 ,2000,0,12,12,45,1
13829$2000-050-01$US$SCAN$OR$001 ,2000,0,15,15,60,1
13829$2000-050-06$US$SCAN$OR$001 ,2000,0,15,15,75,1
13829$2000-005-2$US$SCAN$OR$001 ,2000,0,20,20,95,1
13829$2000-005-5$US$SCAN$OR$001 -003,2000,0,24,24,119,1
13829$2002-022-1$US$SCAN$OR$001 ,2002,0,16,16,135,1
13829$2003-033-6$US$SCAN$OR$001 -001,2003,0,8,8,143,1
13829$2003-054-6$US$SCAN$OR$001 -001,2003,0,10,10,153,1
13829$2003-054-1$US$SCAN$OR$001 -001,2003,0,12,12,165,1
13829$2003-054-2$US$SCAN$OR$001 -001,2003,0,12,12,177,1
13829$2005-047-13$US$SCAN$OR$001 ,2005,0,10,10,187,1
13829$2005-047-14$US$SCAN$OR$001 ,2005,0,10,10,197,1
13829$2008-030-3$US$SCAN$OR$001,2008,0,6,6,203,1
13829$2008-030-5$US$SCAN$OR$001,2008,0,6,6,209,1
13829$2008-030-6$US$SCAN$OR$001 ,2008,0,6,6,215,1
13829$2008-027-2$US$SCAN$OR$001 ,2008,0,8,8,223,1
13829$2009-031-4$US$SCAN$OR$001,2009,0,10,10,233,1
13829$2009-031-5$US$SCAN$OR$001,2009,0,10,10,243,1
13829$2010-015-6$US$SCAN$OR$001,2010,0,5,5,248,1
13829$2010-015-1$US$SCAN$OR$001,2010,0,10,10,258,1
13829$2010-015-2$US$SCAN$OR$001,2010,0,10,10,268,1
13829$2010-015-4$US$SCAN$OR$001,2010,0,10,10,278,1
13829$2011-007-1$US$SCAN$OR$001,2011,0,5,5,283,1
13829$2011-009-1$US$SCAN$OR$001,2011,0,5,5,288,1
13829$2011-009-2$US$SCAN$OR$001,2011,0,5,5,293,1
13829$2012-029-1$US$SCAN$OR$001,2012,0,10,10,303,1
13829$2017-044-2$US$SCAN$OR$001,2017,3,3,0,306,4
13829$2019-070-4$US$SCAN$OR$001 ,2019,4,0,4,306,8
13829$2019-070-5$US$SCAN$OR$001 ,2019,4,0,4,306,12
13829$2019-070-6$US$SCAN$OR$001 ,2019,4,0,4,306,16
13829$2019-077-1$US$SCAN$OR$001,2019,6,0,6,306,22
13829$2019-077-4$US$SCAN$OR$001 ,2019,6,0,6,306,28
13829$2019-080-2$US$SCAN$OR$001 ,2019,6,0,6,306,34
13829$2019-080-3$US$SCAN$OR$001 ,2019,6,0,6,306,40
13829$2019-080-4$US$SCAN$OR$001 ,2019,6,0,6,306,46
13829$2019-080-5$US$SCAN$OR$001 ,2019,6,0,6,306,52
13829$2019-080-6$US$SCAN$OR$001 ,2019,6,0,6,306,58
13829$2019-066-2$US$SCAN$OR$001 ,2019,8,0,8,306,66
13829$2019-070-1$US$SCAN$OR$001 ,2019,8,0,8,306,74
13829$2019-070-2$US$SCAN$OR$001 ,2019,8,0,8,306,82
13829$2019-070-3$US$SCAN$OR$001 ,2019,8,0,8,306,90
13829$2019-075-1$US$SCAN$OR$001 ,2019,8,0,8,306,98
13829$2019-075-2$US$SCAN$OR$001 ,2019,8,0,8,306,106
13829$2019-075-3$US$SCAN$OR$001 ,2019,8,0,8,306,114
13829$2019-075-4$US$SCAN$OR$001 ,2019,8,0,8,306,122
13829$2019-075-6$US$SCAN$OR$001 ,2019,8,0,8,306,130
13829$2019-077-6$US$SCAN$OR$001 ,2019,9,0,9,306,139
13829$2019-085-1$US$SCAN$OR$001 ,2019,9,0,9,306,148
13829$2019-064-3$US$SCAN$OR$001,2019,10,0,10,306,158
13829$2019-064-4$US$SCAN$OR$001,2019,10,0,10,306,168
13829$2019-064-5$US$SCAN$OR$001,2019,10,0,10,306,178
13829$2019-064-6$US$SCAN$OR$001 ,2019,10,0,10,306,188
13829$2019-065-1$US$SCAN$OR$001 ,2019,10,0,10,306,198
13829$2019-065-2$US$SCAN$OR$001,2019,10,0,10,306,208
13829$2019-065-3$US$SCAN$OR$001,2019,10,0,10,306,218
13829$2019-065-5$US$SCAN$OR$001,2019,10,0,10,306,228
13829$2019-065-6$US$SCAN$OR$001,2019,10,0,10,306,238
13829$2019-066-3$US$SCAN$OR$001 ,2019,12,0,12,306,250
13829$2019-066-4$US$SCAN$OR$001 ,2019,12,0,12,306,262
13829$2019-066-5$US$SCAN$OR$001 ,2019,12,0,12,306,274
13829$2019-071-1$US$SCAN$OR$001 ,2019,12,0,12,306,286
13829$2019-071-2$US$SCAN$OR$001 ,2019,12,0,12,306,298
13829$2019-071-3$US$SCAN$OR$001 ,2019,12,0,12,306,310
13829$2019-071-4$US$SCAN$OR$001 ,2019,12,0,12,306,322
13829$2019-071-5$US$SCAN$OR$001 ,2019,12,0,12,306,334
13829$2019-071-6$US$SCAN$OR$001 ,2019,12,0,12,306,346
13829$2019-075-5$US$SCAN$OR$001 ,2019,12,0,12,306,358
13829$2019-076-4$US$SCAN$OR$001 ,2019,12,0,12,306,370
13829$2019-076-5$US$SCAN$OR$001 ,2019,12,0,12,306,382
13829$2019-076-6$US$SCAN$OR$001 ,2019,12,0,12,306,394
13829$2019-077-3$US$SCAN$OR$001 ,2019,12,0,12,306,406
13829$2019-080-1$US$SCAN$OR$001 ,2019,12,0,12,306,418
13829$2019-084-1$US$SCAN$OR$001 ,2019,14,0,14,306,432
13829$2019-084-2$US$SCAN$OR$001 ,2019,14,0,14,306,446
13829$2019-084-3$US$SCAN$OR$001 ,2019,14,0,14,306,460
13829$2019-084-4$US$SCAN$OR$001 ,2019,14,0,14,306,474
13829$2019-084-5$US$SCAN$OR$001 ,2019,14,0,14,306,488
13829$2019-084-6$US$SCAN$OR$001 ,2019,14,0,14,306,502
13829$2019-066-6$US$SCAN$OR$001 ,2019,16,0,16,306,518
13829$2019-076-1$US$SCAN$OR$001 ,2019,16,0,16,306,534
13829$2019-076-2$US$SCAN$OR$001 ,2019,16,0,16,306,550
13829$2019-076-3$US$SCAN$OR$001 ,2019,16,0,16,306,566
13829$2020-049-4$US$SCAN$OR$001,2020,6,0,6,306,572
